song_stem,file_or_dir,type,ok,size_bytes,mtime
lyrics_106,sample01.mid,file,OK,1740,2025-09-23 01:39:12
lyrics_106,sample01.json,file,OK,34,2025-09-23 01:39:12
lyrics_106,sample01.txt,file,OK,324,2025-09-23 01:39:11
lyrics_106,sample01_times.txt,file,OK,565,2025-09-23 01:39:13
lyrics_106,sample01_struct_time.json,file,OK,39,2025-09-23 01:39:14
lyrics_106,sample01_struct_label.json,file,OK,47,2025-09-23 01:39:14
lyrics_106,sample01.wav,file,OK,5397206,2025-09-23 01:39:28
lyrics_106,chord/chord_txt,dir,OK,1 files,
lyrics_106,chord/chord_btc_txt,dir,OK,1 files,
lyrics_107,sample01.mid,file,OK,1710,2025-09-23 01:37:16
lyrics_107,sample01.json,file,OK,34,2025-09-23 01:37:16
lyrics_107,sample01.txt,file,OK,324,2025-09-23 01:37:15
lyrics_107,sample01_times.txt,file,OK,565,2025-09-23 01:37:16
lyrics_107,sample01_struct_time.json,file,OK,38,2025-09-23 01:37:17
lyrics_107,sample01_struct_label.json,file,OK,47,2025-09-23 01:37:17
lyrics_107,sample01.wav,file,OK,5028292,2025-09-23 01:37:31
lyrics_107,chord/chord_txt,dir,OK,1 files,
lyrics_107,chord/chord_btc_txt,dir,OK,1 files,
lyrics_108,sample01.mid,file,OK,1726,2025-09-22 10:29:38
lyrics_108,sample01.json,file,OK,34,2025-09-22 10:29:38
lyrics_108,sample01.txt,file,OK,322,2025-09-22 10:29:37
lyrics_108,sample01_times.txt,file,OK,563,2025-09-22 10:29:38
lyrics_108,sample01_struct_time.json,file,OK,37,2025-09-22 10:29:39
lyrics_108,sample01_struct_label.json,file,OK,47,2025-09-22 10:29:39
lyrics_108,sample01.wav,file,OK,5694034,2025-09-22 10:29:54
lyrics_108,chord/chord_txt,dir,OK,1 files,
lyrics_108,chord/chord_btc_txt,dir,OK,1 files,
lyrics_109,sample01.mid,file,OK,1769,2025-09-22 10:30:43
lyrics_109,sample01.json,file,OK,34,2025-09-22 10:30:43
lyrics_109,sample01.txt,file,OK,329,2025-09-22 10:30:42
lyrics_109,sample01_times.txt,file,OK,570,2025-09-22 10:30:43
lyrics_109,sample01_struct_time.json,file,OK,39,2025-09-22 10:30:44
lyrics_109,sample01_struct_label.json,file,OK,47,2025-09-22 10:30:44
lyrics_109,sample01.wav,file,OK,5041014,2025-09-22 10:30:59
lyrics_109,chord/chord_txt,dir,OK,1 files,
lyrics_109,chord/chord_btc_txt,dir,OK,1 files,
lyrics_11,sample01.mid,file,OK,1847,2025-09-22 10:31:49
lyrics_11,sample01.json,file,OK,34,2025-09-22 10:31:49
lyrics_11,sample01.txt,file,OK,334,2025-09-22 10:31:47
lyrics_11,sample01_times.txt,file,OK,575,2025-09-22 10:31:49
lyrics_11,sample01_struct_time.json,file,OK,39,2025-09-22 10:31:50
lyrics_11,sample01_struct_label.json,file,OK,47,2025-09-22 10:31:50
lyrics_11,sample01.wav,file,OK,6271528,2025-09-22 10:32:06
lyrics_11,chord/chord_txt,dir,OK,1 files,
lyrics_11,chord/chord_btc_txt,dir,OK,1 files,
lyrics_110,sample01.mid,file,OK,1732,2025-09-22 10:32:57
lyrics_110,sample01.json,file,OK,34,2025-09-22 10:32:57
lyrics_110,sample01.txt,file,OK,327,2025-09-22 10:32:56
lyrics_110,sample01_times.txt,file,OK,568,2025-09-22 10:32:58
lyrics_110,sample01_struct_time.json,file,OK,39,2025-09-22 10:32:59
lyrics_110,sample01_struct_label.json,file,OK,47,2025-09-22 10:32:59
lyrics_110,sample01.wav,file,OK,4956206,2025-09-22 10:33:14
lyrics_110,chord/chord_txt,dir,OK,1 files,
lyrics_110,chord/chord_btc_txt,dir,OK,1 files,
lyrics_111,sample01.mid,file,OK,1762,2025-09-22 10:34:02
lyrics_111,sample01.json,file,OK,34,2025-09-22 10:34:02
lyrics_111,sample01.txt,file,OK,326,2025-09-22 10:34:01
lyrics_111,sample01_times.txt,file,OK,567,2025-09-22 10:34:03
lyrics_111,sample01_struct_time.json,file,OK,39,2025-09-22 10:34:03
lyrics_111,sample01_struct_label.json,file,OK,47,2025-09-22 10:34:03
lyrics_111,sample01.wav,file,OK,4812032,2025-09-22 10:34:18
lyrics_111,chord/chord_txt,dir,OK,1 files,
lyrics_111,chord/chord_btc_txt,dir,OK,1 files,
lyrics_112,sample01.mid,file,OK,1776,2025-09-22 10:35:08
lyrics_112,sample01.json,file,OK,34,2025-09-22 10:35:08
lyrics_112,sample01.txt,file,OK,332,2025-09-22 10:35:07
lyrics_112,sample01_times.txt,file,OK,573,2025-09-22 10:35:09
lyrics_112,sample01_struct_time.json,file,OK,39,2025-09-22 10:35:10
lyrics_112,sample01_struct_label.json,file,OK,47,2025-09-22 10:35:10
lyrics_112,sample01.wav,file,OK,5261514,2025-09-22 10:35:25
lyrics_112,chord/chord_txt,dir,OK,1 files,
lyrics_112,chord/chord_btc_txt,dir,OK,1 files,
lyrics_113,sample01.mid,file,OK,1765,2025-09-22 10:36:17
lyrics_113,sample01.json,file,OK,34,2025-09-22 10:36:17
lyrics_113,sample01.txt,file,OK,329,2025-09-22 10:36:17
lyrics_113,sample01_times.txt,file,OK,570,2025-09-22 10:36:18
lyrics_113,sample01_struct_time.json,file,OK,39,2025-09-22 10:36:19
lyrics_113,sample01_struct_label.json,file,OK,47,2025-09-22 10:36:19
lyrics_113,sample01.wav,file,OK,4481282,2025-09-22 10:36:33
lyrics_113,chord/chord_txt,dir,OK,1 files,
lyrics_113,chord/chord_btc_txt,dir,OK,1 files,
lyrics_114,sample01.mid,file,OK,1767,2025-09-22 10:37:22
lyrics_114,sample01.json,file,OK,34,2025-09-22 10:37:22
lyrics_114,sample01.txt,file,OK,328,2025-09-22 10:37:21
lyrics_114,sample01_times.txt,file,OK,569,2025-09-22 10:37:22
lyrics_114,sample01_struct_time.json,file,OK,39,2025-09-22 10:37:23
lyrics_114,sample01_struct_label.json,file,OK,47,2025-09-22 10:37:23
lyrics_114,sample01.wav,file,OK,4498244,2025-09-22 10:37:37
lyrics_114,chord/chord_txt,dir,OK,1 files,
lyrics_114,chord/chord_btc_txt,dir,OK,1 files,
lyrics_115,sample01.mid,file,OK,1738,2025-09-22 10:38:31
lyrics_115,sample01.json,file,OK,34,2025-09-22 10:38:31
lyrics_115,sample01.txt,file,OK,326,2025-09-22 10:38:30
lyrics_115,sample01_times.txt,file,OK,567,2025-09-22 10:38:32
lyrics_115,sample01_struct_time.json,file,OK,37,2025-09-22 10:38:32
lyrics_115,sample01_struct_label.json,file,OK,47,2025-09-22 10:38:32
lyrics_115,sample01.wav,file,OK,4956206,2025-09-22 10:38:47
lyrics_115,chord/chord_txt,dir,OK,1 files,
lyrics_115,chord/chord_btc_txt,dir,OK,1 files,
lyrics_116,sample01.mid,file,OK,1800,2025-09-22 10:39:45
lyrics_116,sample01.json,file,OK,34,2025-09-22 10:39:45
lyrics_116,sample01.txt,file,OK,332,2025-09-22 10:39:44
lyrics_116,sample01_times.txt,file,OK,573,2025-09-22 10:39:46
lyrics_116,sample01_struct_time.json,file,OK,39,2025-09-22 10:39:47
lyrics_116,sample01_struct_label.json,file,OK,47,2025-09-22 10:39:47
lyrics_116,sample01.wav,file,OK,5634668,2025-09-22 10:40:01
lyrics_116,chord/chord_txt,dir,OK,1 files,
lyrics_116,chord/chord_btc_txt,dir,OK,1 files,
lyrics_117,sample01.mid,file,OK,1724,2025-09-22 10:40:49
lyrics_117,sample01.json,file,OK,34,2025-09-22 10:40:49
lyrics_117,sample01.txt,file,OK,324,2025-09-22 10:40:48
lyrics_117,sample01_times.txt,file,OK,565,2025-09-22 10:40:49
lyrics_117,sample01_struct_time.json,file,OK,39,2025-09-22 10:40:50
lyrics_117,sample01_struct_label.json,file,OK,47,2025-09-22 10:40:50
lyrics_117,sample01.wav,file,OK,5515936,2025-09-22 10:41:05
lyrics_117,chord/chord_txt,dir,OK,1 files,
lyrics_117,chord/chord_btc_txt,dir,OK,1 files,
lyrics_118,sample01.mid,file,OK,1769,2025-09-22 10:41:54
lyrics_118,sample01.json,file,OK,34,2025-09-22 10:41:54
lyrics_118,sample01.txt,file,OK,331,2025-09-22 10:41:53
lyrics_118,sample01_times.txt,file,OK,572,2025-09-22 10:41:55
lyrics_118,sample01_struct_time.json,file,OK,37,2025-09-22 10:41:56
lyrics_118,sample01_struct_label.json,file,OK,47,2025-09-22 10:41:56
lyrics_118,sample01.wav,file,OK,5041014,2025-09-22 10:42:10
lyrics_118,chord/chord_txt,dir,OK,1 files,
lyrics_118,chord/chord_btc_txt,dir,OK,1 files,
lyrics_119,sample01.mid,file,OK,1714,2025-09-22 10:43:02
lyrics_119,sample01.json,file,OK,34,2025-09-22 10:43:02
lyrics_119,sample01.txt,file,OK,324,2025-09-22 10:43:01
lyrics_119,sample01_times.txt,file,OK,565,2025-09-22 10:43:03
lyrics_119,sample01_struct_time.json,file,OK,39,2025-09-22 10:43:04
lyrics_119,sample01_struct_label.json,file,OK,47,2025-09-22 10:43:04
lyrics_119,sample01.wav,file,OK,5363284,2025-09-22 10:43:18
lyrics_119,chord/chord_txt,dir,OK,1 files,
lyrics_119,chord/chord_btc_txt,dir,OK,1 files,
lyrics_12,sample01.mid,file,OK,1933,2025-09-22 10:44:07
lyrics_12,sample01.json,file,OK,34,2025-09-22 10:44:07
lyrics_12,sample01.txt,file,OK,345,2025-09-22 10:44:06
lyrics_12,sample01_times.txt,file,OK,586,2025-09-22 10:44:08
lyrics_12,sample01_struct_time.json,file,OK,39,2025-09-22 10:44:09
lyrics_12,sample01_struct_label.json,file,OK,47,2025-09-22 10:44:09
lyrics_12,sample01.wav,file,OK,6215822,2025-09-22 10:44:24
lyrics_12,chord/chord_txt,dir,OK,1 files,
lyrics_12,chord/chord_btc_txt,dir,OK,1 files,
lyrics_120,sample01.mid,file,OK,1794,2025-09-22 10:45:21
lyrics_120,sample01.json,file,OK,34,2025-09-22 10:45:21
lyrics_120,sample01.txt,file,OK,331,2025-09-22 10:45:20
lyrics_120,sample01_times.txt,file,OK,572,2025-09-22 10:45:22
lyrics_120,sample01_struct_time.json,file,OK,39,2025-09-22 10:45:22
lyrics_120,sample01_struct_label.json,file,OK,47,2025-09-22 10:45:22
lyrics_120,sample01.wav,file,OK,5651630,2025-09-22 10:45:37
lyrics_120,chord/chord_txt,dir,OK,1 files,
lyrics_120,chord/chord_btc_txt,dir,OK,1 files,
lyrics_121,sample01.mid,file,OK,1697,2025-09-22 10:46:26
lyrics_121,sample01.json,file,OK,34,2025-09-22 10:46:26
lyrics_121,sample01.txt,file,OK,320,2025-09-22 10:46:25
lyrics_121,sample01_times.txt,file,OK,561,2025-09-22 10:46:26
lyrics_121,sample01_struct_time.json,file,OK,39,2025-09-22 10:46:27
lyrics_121,sample01_struct_label.json,file,OK,47,2025-09-22 10:46:27
