00:37.241	00:39.310	说好的长相#守
00:41.379	00:43.448	说过的不回#头
00:45.000	00:47.586	总想就这样牵你的手
00:48.879	00:51.724	幸福地一直往前#走
00:53.793	00:55.862	心里的泪在#流
00:57.931	01:00.000	心上的痛依#旧
01:01.552	01:04.138	原来你说的最后温柔
01:05.431	01:08.276	是慢慢放开我的#手
01:10.086	01:12.414	我爱你那么多
01:13.966	01:16.293	等了你那么久
01:18.103	01:20.948	却不舍得让你难#过
01:22.241	01:24.569	笑着说还是朋友
01:26.638	01:28.966	我爱你那么多
01:30.517	01:32.845	好想你能挽留
01:34.655	01:37.759	却不舍得让你愧#疚
01:38.793	01:43.448	一个人默默承#受
